customer_id,recency,frequency,monetary
CS1222,2015-01-30,21,1585
CS1223,2015-01-22,17,1299
CS1224,2014-11-21,8,578
CS1225,2015-01-28,17,999
CS1226,2015-01-21,18,1213
CS1227,2015-02-19,27,1783
CS1228,2015-01-29,19,1368
CS1229,2015-02-17,19,1194
CS1230,2015-03-11,20,1415
CS1231,2014-10-13,23,1750
CS1232,2014-12-11,20,1452
CS1233,2014-11-21,21,1374
CS1234,2015-03-12,21,1349
CS1235,2014-10-26,22,1507
CS1236,2015-02-02,22,1668
CS1237,2014-08-28,24,1823
CS1238,2015-02-24,26,1808
CS1239,2014-07-07,11,771
CS1240,2015-03-13,30,2126
CS1241,2015-02-16,27,1818
CS1242,2015-01-16,13,943
CS1243,2015-02-06,17,1087
CS1244,2014-10-26,21,1492
CS1245,2015-01-03,19,1321
CS1246,2014-05-25,20,1431
CS1247,2015-02-16,28,1773
CS1248,2015-03-07,17,1172
CS1249,2014-12-17,23,1846
CS1250,2015-03-04,24,1625
CS1251,2015-03-14,14,1035
CS1252,2014-11-29,18,1411
CS1253,2015-01-01,17,1399
CS1254,2015-03-13,21,1599
CS1255,2015-01-08,29,1998
CS1256,2014-08-15,19,1304
CS1257,2015-02-19,15,1050
CS1258,2015-02-19,22,1458
CS1259,2014-09-29,22,1679
CS1260,2014-10-21,26,1941
CS1261,2014-12-19,26,1943
CS1262,2014-12-22,16,1040
CS1263,2015-03-13,14,1096
CS1264,2015-03-13,12,959
CS1265,2015-01-24,14,1128
CS1266,2015-02-05,15,1076
CS1267,2014-11-26,26,1812
CS1268,2015-01-10,27,1946
CS1269,2015-01-07,19,1272
CS1270,2015-02-17,27,1990
CS1271,2015-02-09,25,1683
CS1272,2015-02-27,19,1279
CS1273,2015-02-17,25,1800
CS1274,2015-03-11,20,1381
CS1275,2015-03-16,18,1321
CS1276,2015-02-17,21,1505
CS1277,2014-12-18,17,1142
CS1278,2014-11-27,22,1572
CS1279,2015-01-28,21,1411
CS1280,2015-03-03,21,1262
CS1281,2015-03-04,23,1715
CS1282,2014-11-04,15,1014
CS1283,2015-02-25,22,1683
CS1284,2015-03-11,24,1836
CS1285,2015-02-19,24,1778
CS1286,2015-01-07,21,1511
CS1287,2014-09-07,20,1440
CS1288,2014-07-08,17,1125
CS1289,2015-03-13,19,1355
CS1290,2014-12-10,20,1625
CS1291,2015-03-16,15,1006
CS1292,2015-02-23,18,1307
CS1293,2015-01-01,21,1625
CS1294,2015-02-10,30,2129
CS1295,2015-03-13,22,1487
CS1296,2015-03-04,21,1505
CS1297,2015-01-11,12,765
CS1298,2015-01-31,21,1561
CS1299,2014-12-06,21,1552
CS1300,2015-03-09,18,1309
CS1301,2015-02-19,19,1250
CS1302,2015-02-14,19,1278
CS1303,2015-02-02,22,1634
CS1304,2014-12-27,15,874
CS1305,2014-12-01,16,1031
CS1306,2015-03-12,15,1153
CS1307,2015-01-02,18,1220
CS1308,2015-02-26,21,1487
CS1309,2015-01-11,12,761
CS1310,2014-11-16,15,1103
CS1311,2015-02-10,18,1129
CS1312,2015-02-26,16,1353
CS1313,2015-03-05,29,2072
CS1314,2013-10-13,13,891
CS1315,2015-01-01,15,1030
CS1316,2015-02-15,26,1726
CS1317,2015-02-26,16,1146
CS1318,2015-02-28,22,1693
CS1319,2014-12-18,18,1161
CS1320,2015-03-04,18,1382
CS1321,2015-03-16,21,1668
CS1322,2015-03-11,26,1964
CS1323,2014-11-11,23,1595
CS1324,2014-08-20,24,1611
CS1325,2014-08-25,18,1209
CS1326,2015-02-20,27,1940
CS1327,2015-03-02,23,1525
CS1328,2014-08-10,15,1043
CS1329,2014-11-14,17,1158
CS1330,2015-02-17,23,1750
CS1331,2015-03-06,15,1170
CS1332,2014-11-06,29,2010
CS1333,2015-01-29,8,625
CS1334,2014-12-27,25,1781
CS1335,2014-11-15,17,1157
CS1336,2014-11-28,24,1696
CS1337,2015-02-08,22,1668
CS1338,2015-02-25,18,1436
CS1339,2015-01-16,23,1680
CS1340,2014-11-10,20,1506
CS1341,2015-01-07,13,1038
CS1342,2015-03-15,16,1326
CS1343,2015-01-08,21,1489
CS1344,2015-02-20,25,1638
CS1345,2014-12-06,18,1193
CS1346,2014-09-30,15,1072
CS1347,2015-03-12,30,2000
CS1348,2015-01-17,22,1583
CS1349,2015-02-28,16,1086
CS1350,2015-02-12,27,1996
CS1351,2014-11-14,21,1505
CS1352,2015-02-04,20,1424
CS1353,2014-08-23,19,1408
CS1354,2014-02-02,16,1324
CS1355,2015-01-27,23,1507
CS1356,2014-12-26,24,1740
CS1357,2014-10-14,26,1775
CS1358,2015-03-05,19,1408
CS1359,2015-02-24,16,1145
CS1360,2015-02-02,18,1282
CS1361,2015-02-27,19,1470
CS1362,2015-03-10,23,1703
CS1363,2014-08-27,24,1632
CS1364,2015-01-09,27,1864
CS1365,2015-02-27,19,1225
CS1366,2015-02-17,22,1493
CS1367,2015-01-08,29,2146
CS1368,2015-03-12,15,960
CS1369,2015-01-29,25,1746
CS1370,2014-10-26,26,1864
CS1371,2014-10-08,22,1496
CS1372,2014-06-11,19,1412
CS1373,2014-12-21,30,1967
CS1374,2014-10-03,19,1357
CS1375,2014-11-09,17,1165
CS1376,2015-02-10,25,1512
CS1377,2014-10-24,18,1505
CS1378,2015-02-19,25,1671
CS1379,2014-10-31,15,1134
CS1380,2015-02-28,26,1857
CS1381,2014-02-20,22,1449
CS1382,2015-03-12,25,1845
CS1383,2014-11-21,25,1878
CS1384,2015-03-04,17,964
CS1385,2015-03-11,22,1478
CS1386,2015-01-04,14,998
CS1387,2014-11-09,18,1238
CS1388,2015-02-14,19,1275
CS1389,2015-02-25,18,1189
CS1390,2015-01-31,19,1210
CS1391,2015-03-12,25,1584
CS1392,2015-01-01,17,1227
CS1393,2014-12-07,19,1437
CS1394,2015-03-11,28,2046
CS1395,2015-03-02,22,1704
CS1396,2015-02-13,25,1852
CS1397,2014-10-01,30,2156
CS1398,2015-02-15,20,1354
CS1399,2015-02-21,26,1832
CS1400,2014-12-30,18,1193
CS1401,2015-03-02,30,2023
CS1402,2015-02-14,22,1660
CS1403,2015-02-01,22,1652
CS1404,2015-01-25,28,1900
CS1405,2015-02-25,26,1943
CS1406,2015-03-02,27,1842
CS1407,2015-03-03,28,1916
CS1408,2014-07-18,17,1214
CS1409,2014-12-20,24,1464
CS1410,2015-01-16,15,1160
CS1411,2015-01-19,17,1222
CS1412,2015-03-01,22,1599
CS1413,2015-01-16,19,1396
CS1414,2014-10-14,20,1437
CS1415,2015-01-01,27,1752
CS1416,2015-03-04,20,1513
CS1417,2015-01-25,15,1076
CS1418,2014-10-17,14,1053
CS1419,2015-03-16,27,1915
CS1420,2014-12-25,25,1923
CS1421,2015-01-16,27,1896
CS1422,2015-03-11,15,1211
CS1423,2015-01-20,20,1182
CS1424,2015-03-06,24,1753
CS1425,2015-01-04,23,1688
CS1426,2015-02-23,21,1538
CS1427,2015-03-09,15,985
CS1428,2014-12-21,25,1948
CS1429,2014-11-04,18,1261
CS1430,2015-03-03,21,1440
CS1431,2015-03-04,18,1257
CS1432,2015-03-13,19,1362
CS1433,2015-02-05,20,1468
CS1434,2015-03-05,27,1758
CS1435,2015-01-29,25,1700
CS1436,2015-01-16,14,977
CS1437,2015-02-16,12,880
CS1438,2015-02-08,20,1374
CS1439,2015-02-10,16,1160
CS1440,2014-12-05,22,1577
CS1441,2015-01-07,20,1351
CS1442,2015-03-08,20,1225
CS1443,2015-01-22,24,1876
CS1444,2015-02-09,23,1756
CS1445,2015-03-14,23,1526
CS1446,2015-03-03,15,991
CS1447,2015-03-11,14,1001
CS1448,2015-02-05,16,1239
CS1449,2015-03-14,20,1402
CS1450,2015-02-20,20,1251
CS1451,2015-02-24,22,1715
CS1452,2014-11-28,15,941
CS1453,2014-11-04,22,1640
CS1454,2015-02-24,17,1126
CS1455,2015-03-14,18,1301
CS1456,2014-08-24,20,1363
CS1457,2014-12-15,15,929
CS1458,2015-03-11,20,1422
CS1459,2014-11-12,24,1627
CS1460,2015-02-03,18,1185
CS1461,2015-02-17,23,1567
CS1462,2015-01-27,24,1616
CS1463,2014-11-08,27,1807
CS1464,2014-07-23,21,1613
CS1465,2015-03-14,22,1631
CS1466,2015-02-22,17,1190
CS1467,2014-08-10,18,1233
CS1468,2015-03-07,21,1412
CS1469,2015-03-07,19,1387
CS1470,2015-01-23,22,1649
CS1471,2015-03-12,20,1325
CS1472,2015-03-08,19,1241
CS1473,2015-03-13,25,1695
CS1474,2014-12-17,21,1487
CS1475,2015-01-20,18,1197
CS1476,2014-12-29,20,1430
CS1477,2015-03-03,18,1185
CS1478,2014-12-16,19,1300
CS1479,2015-01-18,20,1567
CS1480,2014-12-24,17,1251
CS1481,2013-12-23,13,876
CS1482,2015-02-08,12,732
CS1483,2015-01-01,24,1774
CS1484,2014-12-07,16,1221
CS1485,2015-02-22,25,1814
CS1486,2015-01-27,19,1377
CS1487,2015-02-16,10,599
CS1488,2015-03-03,23,1595
CS1489,2015-02-11,15,950
CS1490,2015-02-21,25,1788
CS1491,2014-12-19,17,1244
CS1492,2015-02-07,19,1358
CS1493,2015-03-11,21,1531
CS1494,2014-11-18,21,1502
CS1495,2015-02-26,17,1138
CS1496,2015-02-21,18,1222
CS1497,2015-03-09,20,1445
CS1498,2015-01-19,22,1519
CS1499,2015-01-30,26,1879
CS1500,2014-10-03,15,983
CS1501,2015-02-09,26,1965
CS1502,2015-03-11,22,1613
CS1503,2015-03-15,27,1927
CS1504,2015-01-31,13,825
CS1505,2015-01-23,25,1703
CS1506,2014-12-30,18,1307
CS1507,2015-02-25,21,1280
CS1508,2015-03-02,28,1933
CS1509,2014-10-21,20,1383
CS1510,2015-03-13,26,1792
CS1511,2015-01-25,18,1253
CS1512,2015-02-21,20,1239
CS1513,2014-11-30,22,1444
CS1514,2014-10-06,16,1046
CS1515,2015-03-02,22,1742
CS1516,2014-12-05,18,1308
CS1517,2014-12-21,18,1168
CS1518,2014-11-12,19,1151
CS1519,2015-03-05,15,962
CS1520,2015-03-13,18,1162
CS1521,2014-09-03,9,671
CS1522,2014-12-10,14,894
CS1523,2014-08-13,15,928
CS1524,2014-11-06,17,1075
CS1525,2015-02-17,17,1215
CS1526,2015-02-13,19,1324
CS1527,2015-03-03,19,1187
CS1528,2015-03-13,24,1660
CS1529,2015-03-07,25,1823
CS1530,2014-07-08,10,626
CS1531,2015-02-09,25,1793
CS1532,2014-06-06,17,1140
CS1533,2015-02-01,23,1606
CS1534,2015-01-07,20,1379
CS1535,2014-12-23,24,1904
CS1536,2015-02-09,12,753
CS1537,2015-03-11,20,1323
CS1538,2015-03-14,19,1304
CS1539,2015-02-19,20,1371
CS1540,2015-02-06,19,1199
CS1541,2014-10-26,30,2273
CS1542,2014-09-27,27,1808
CS1543,2015-03-15,12,948
CS1544,2015-01-22,19,1334
CS1545,2015-02-23,28,1935
CS1546,2014-08-29,18,1436
CS1547,2015-02-19,22,1600
CS1548,2015-02-27,23,1755
CS1549,2015-02-19,20,1393
CS1550,2015-01-25,22,1583
CS1551,2014-12-05,18,1300
CS1552,2015-02-14,22,1604
CS1553,2014-09-10,20,1444
CS1554,2014-10-26,17,993
CS1555,2015-01-13,23,1571
CS1556,2015-02-22,13,1031
CS1557,2015-02-03,30,1992
CS1558,2015-02-25,23,1500
CS1559,2015-03-10,20,1613
CS1560,2015-01-26,18,1352
CS1561,2015-03-15,15,1082
CS1562,2014-03-03,12,711
CS1563,2014-02-05,17,1108
CS1564,2015-02-26,16,1304
CS1565,2014-11-16,17,1147
CS1566,2014-09-07,21,1491
CS1567,2015-02-23,19,1465
CS1568,2015-02-11,20,1604
CS1569,2015-02-19,15,1074
CS1570,2014-12-04,25,1782
CS1571,2015-02-13,20,1503
CS1572,2015-02-10,15,1085
CS1573,2015-02-01,19,1539
CS1574,2015-03-09,18,1018
CS1575,2015-01-29,26,1611
CS1576,2014-12-13,16,1074
CS1577,2015-02-25,21,1525
CS1578,2014-12-18,16,1125
CS1579,2015-02-18,20,1433
CS1580,2014-09-07,33,2329
CS1581,2015-02-07,23,1501
CS1582,2015-02-26,27,2009
CS1583,2015-02-15,25,1919
CS1584,2015-03-02,21,1512
CS1585,2014-12-13,19,1167
CS1586,2015-01-02,20,1441
CS1587,2015-02-07,27,1900
CS1588,2015-03-07,25,1591
CS1589,2015-03-01,15,1151
CS1590,2014-10-13,16,964
CS1591,2014-10-13,18,1144
CS1592,2015-02-10,19,1215
CS1593,2015-02-20,20,1406
CS1594,2015-02-21,13,901
CS1595,2014-11-30,10,648
CS1596,2015-02-26,19,1342
CS1597,2015-01-09,23,1611
CS1598,2015-02-05,20,1289
CS1599,2015-01-18,15,1028
CS1600,2015-02-25,20,1331
CS1601,2014-12-27,27,1787
CS1602,2015-02-18,20,1401
CS1603,2014-11-11,19,1374
CS1604,2015-03-01,28,1950
CS1605,2015-02-28,27,1685
CS1606,2015-03-14,13,781
CS1607,2015-01-14,19,1384
CS1608,2015-01-26,14,973
CS1609,2014-10-30,20,1375
CS1610,2015-02-12,19,1326
CS1611,2014-07-01,23,1794
CS1612,2015-02-25,26,1759
CS1613,2014-11-09,21,1347
CS1614,2015-03-06,22,1568
CS1615,2015-03-13,20,1419
CS1616,2015-03-06,19,1434
CS1617,2014-12-02,27,1784
CS1618,2014-09-22,13,887
CS1619,2015-03-05,21,1323
CS1620,2014-05-20,16,1320
CS1621,2015-02-23,26,1894
CS1622,2015-03-16,20,1360
CS1623,2015-02-28,26,1777
CS1624,2015-02-05,25,1832
CS1625,2015-03-11,14,950
CS1626,2015-01-14,17,1172
CS1627,2014-12-29,16,1043
CS1628,2015-02-23,21,1456
CS1629,2015-03-13,22,1394
CS1630,2015-03-15,20,1393
CS1631,2015-02-03,18,1223
CS1632,2015-03-08,17,1187
CS1633,2015-02-26,26,1763
CS1634,2015-03-02,15,1044
CS1635,2014-12-10,23,1573
CS1636,2015-01-07,19,1347
CS1637,2015-02-22,22,1496
CS1638,2014-07-29,15,1035
CS1639,2015-03-04,23,1619
CS1640,2015-01-15,19,1232
CS1641,2015-03-08,17,1232
CS1642,2015-02-10,24,1672
CS1643,2015-02-22,27,2087
CS1644,2014-12-31,22,1542
CS1645,2014-07-16,19,1412
CS1646,2015-02-17,17,1185
CS1647,2015-02-28,21,1401
CS1648,2014-11-20,24,1776
CS1649,2015-01-27,16,1197
CS1650,2014-11-23,24,1832
CS1651,2014-12-02,13,927
CS1652,2015-03-15,26,1726
CS1653,2014-11-19,26,1986
CS1654,2014-12-16,19,1384
CS1655,2015-02-16,14,955
CS1656,2015-01-24,14,966
CS1657,2014-11-11,18,1105
CS1658,2015-02-15,20,1389
CS1659,2015-02-01,19,1311
CS1660,2015-02-24,24,1745
CS1661,2015-02-17,32,2051
CS1662,2015-02-22,17,1033
CS1663,2014-12-10,23,1487
CS1664,2015-03-03,25,1954
CS1665,2014-10-12,16,1033
CS1666,2015-01-25,18,1385
CS1667,2015-01-02,20,1313
CS1668,2015-01-26,17,1227
CS1669,2015-03-01,15,1105
CS1670,2014-12-25,16,1191
CS1671,2014-12-22,17,1246
CS1672,2014-11-05,15,1110
CS1673,2015-01-21,26,1784
CS1674,2015-01-21,17,1088
CS1675,2015-02-06,28,2124
CS1676,2015-01-09,28,2088
CS1677,2015-01-11,21,1439
CS1678,2014-12-31,18,1230
CS1679,2015-03-09,28,1976
CS1680,2015-01-27,18,1151
CS1681,2014-11-23,21,1467
CS1682,2014-11-10,15,1075
CS1683,2015-03-02,17,1245
CS1684,2015-01-07,18,1241
CS1685,2014-08-13,22,1569
CS1686,2015-01-08,24,1647
CS1687,2015-02-20,22,1656
CS1688,2014-11-05,17,1167
CS1689,2015-01-01,16,993
CS1690,2015-02-21,19,1354
CS1691,2015-01-02,20,1523
CS1692,2015-03-15,23,1592
CS1693,2015-03-01,12,908
CS1694,2015-01-10,22,1330
CS1695,2014-12-13,32,2174
CS1696,2014-11-07,19,1325
CS1697,2014-11-29,15,1082
CS1698,2015-03-11,19,1397
CS1699,2015-02-28,18,1261
CS1700,2014-07-12,17,1186
CS1701,2014-09-19,18,1190
CS1702,2015-02-18,17,1028
CS1703,2015-01-06,15,890
CS1704,2015-02-26,22,1484
CS1705,2014-12-28,21,1553
CS1706,2015-02-14,23,1681
CS1707,2015-02-03,22,1627
CS1708,2015-02-04,25,1790
CS1709,2014-10-08,23,1629
CS1710,2014-06-24,22,1577
CS1711,2014-12-21,23,1548
CS1712,2014-11-16,21,1411
CS1713,2015-03-07,19,1495
CS1714,2015-03-16,16,1248
CS1715,2015-01-28,20,1314
CS1716,2014-03-29,6,440
CS1717,2015-01-26,14,963
CS1718,2014-12-29,18,1284
CS1719,2015-02-09,17,1166
CS1720,2015-03-16,17,1104
CS1721,2015-02-24,24,1687
CS1722,2015-03-02,19,1320
CS1723,2015-02-09,17,1146
CS1724,2015-02-15,18,1223
CS1725,2015-01-16,27,1778
CS1726,2015-02-17,23,1529
CS1727,2015-03-05,25,1702
CS1728,2014-11-30,26,1896
CS1729,2015-03-03,24,1567
CS1730,2014-11-05,19,1260
CS1731,2015-03-02,17,1145
CS1732,2015-02-19,18,1353
CS1733,2014-11-06,20,1506
CS1734,2014-09-07,18,1235
CS1735,2015-03-03,14,952
CS1736,2014-12-23,24,1653
CS1737,2014-12-16,23,1737
CS1738,2015-02-09,20,1337
CS1739,2015-01-27,17,1199
CS1740,2015-02-05,25,1902
CS1741,2014-10-20,19,1264
CS1742,2015-01-05,19,1326
CS1743,2014-09-29,17,1405
CS1744,2015-03-03,14,1066
CS1745,2015-02-20,22,1615
CS1746,2014-06-15,26,1878
CS1747,2015-03-12,17,1099
CS1748,2015-03-14,22,1498
CS1749,2015-02-27,17,1174
CS1750,2015-03-04,22,1543
CS1751,2015-01-26,23,1504
CS1752,2015-02-27,22,1656
CS1753,2014-12-20,18,1180
CS1754,2014-12-28,17,1177
CS1755,2014-12-20,17,1164
CS1756,2014-07-24,18,1176
CS1757,2014-12-26,31,2238
CS1758,2015-01-10,20,1337
CS1759,2014-11-29,24,1654
CS1760,2015-01-13,21,1570
CS1761,2015-03-15,16,1144
CS1762,2014-12-14,14,1027
CS1763,2015-02-16,24,1689
CS1764,2015-02-09,15,1085
CS1765,2014-12-22,14,1079
CS1766,2014-11-16,19,1067
CS1767,2015-02-12,26,1674
CS1768,2014-12-11,25,1794
CS1769,2014-09-17,20,1356
CS1770,2015-03-10,25,1734
CS1771,2015-03-04,19,1337
CS1772,2015-01-22,18,1348
CS1773,2014-12-20,22,1442
CS1774,2015-03-12,25,1756
CS1775,2015-01-22,13,848
CS1776,2015-01-17,25,1782
CS1777,2014-12-27,14,1044
CS1778,2015-02-13,19,1368
CS1779,2015-03-02,16,1086
CS1780,2015-03-07,19,1265
CS1781,2014-09-08,29,2131
CS1782,2014-12-30,17,1174
CS1783,2014-12-08,17,1210
CS1784,2014-11-17,15,993
CS1785,2015-02-26,29,2103
CS1786,2015-02-09,31,2218
CS1787,2015-03-05,22,1443
CS1788,2014-10-13,24,1548
CS1789,2015-03-01,16,1192
CS1790,2014-09-17,18,1241
CS1791,2015-03-16,21,1607
CS1792,2015-01-03,17,1179
CS1793,2015-02-28,17,1035
CS1794,2015-03-16,24,1764
CS1795,2014-11-06,17,1331
CS1796,2015-01-31,20,1462
CS1797,2015-01-25,23,1393
CS1798,2014-12-07,27,1826
CS1799,2015-02-03,14,966
CS1800,2015-03-14,16,1053
CS1801,2014-11-24,15,994
CS1802,2015-03-06,27,1913
CS1803,2014-11-09,21,1562
CS1804,2015-02-05,19,1247
CS1805,2015-02-20,31,2076
CS1806,2015-01-30,15,1025
CS1807,2015-01-24,26,1732
CS1808,2014-12-16,14,851
CS1809,2015-02-16,21,1500
CS1810,2015-02-02,16,1165
CS1811,2015-02-28,18,1425
CS1812,2015-03-11,27,1783
CS1813,2014-11-21,25,1757
CS1814,2014-10-30,21,1462
CS1815,2015-02-05,14,959
CS1816,2015-02-09,22,1723
CS1817,2015-02-26,18,1315
CS1818,2015-02-25,22,1674
CS1819,2015-02-07,26,1867
CS1820,2015-01-31,25,1898
CS1821,2014-08-01,20,1418
CS1822,2015-02-16,13,921
CS1823,2015-02-04,16,1198
CS1824,2015-03-08,17,1271
CS1825,2015-03-03,23,1734
CS1826,2015-01-03,15,1072
CS1827,2015-03-04,24,1680
CS1828,2015-01-26,16,1154
CS1829,2015-02-26,19,1454
CS1830,2014-12-08,17,1175
CS1831,2015-03-02,26,1759
CS1832,2014-12-03,25,1796
CS1833,2015-01-08,18,1139
CS1834,2014-01-05,13,787
CS1835,2015-02-03,19,1389
CS1836,2014-06-26,26,1905
CS1837,2015-02-02,19,1469
CS1838,2015-03-06,21,1409
CS1839,2014-10-03,16,1123
CS1840,2015-02-04,19,1183
CS1841,2015-03-03,17,1110
CS1842,2015-03-13,21,1568
CS1843,2015-03-14,20,1432
CS1844,2015-02-26,22,1452
CS1845,2014-07-20,13,938
CS1846,2014-12-20,26,1812
CS1847,2015-01-25,22,1576
CS1848,2014-12-26,17,1279
CS1849,2015-03-07,11,716
CS1850,2015-03-09,24,1908
CS1851,2015-02-14,21,1444
CS1852,2014-12-04,14,1020
CS1853,2015-01-11,17,1212
CS1854,2014-11-27,22,1686
CS1855,2014-11-29,19,1256
CS1856,2015-02-28,17,1063
CS1857,2015-03-09,25,1717
CS1858,2015-01-08,21,1389
CS1859,2015-02-10,19,1198
CS1860,2015-03-09,16,1062
CS1861,2015-03-08,20,1376
CS1862,2014-12-29,24,1634
CS1863,2015-02-09,23,1635
CS1864,2015-02-25,27,1992
CS1865,2014-12-10,31,2245
CS1866,2014-11-23,25,1890
CS1867,2015-01-09,20,1271
CS1868,2015-01-09,16,1048
CS1869,2015-02-05,14,868
CS1870,2015-02-01,24,1472
CS1871,2014-10-26,20,1449
CS1872,2015-02-23,20,1416
CS1873,2015-01-20,16,1128
CS1874,2015-03-02,16,1054
CS1875,2015-02-20,19,1481
CS1876,2015-02-18,21,1491
CS1877,2014-12-14,25,1681
CS1878,2014-11-12,23,1775
CS1879,2015-01-23,18,1160
CS1880,2014-11-07,18,1278
CS1881,2014-10-09,13,902
CS1882,2015-01-19,9,673
CS1883,2015-01-25,15,1117
CS1884,2015-02-08,13,802
CS1885,2015-03-14,24,1781
CS1886,2014-11-30,18,1157
CS1887,2015-01-12,19,1506
CS1888,2015-02-05,23,1739
CS1889,2015-02-27,11,717
CS1890,2015-03-03,23,1591
CS1891,2014-05-11,14,927
CS1892,2015-01-30,18,1334
CS1893,2014-12-24,19,1262
CS1894,2015-03-03,21,1456
CS1895,2014-11-06,19,1357
CS1896,2014-09-26,12,874
CS1897,2015-01-02,21,1491
CS1898,2014-12-28,19,1470
CS1899,2015-02-20,11,729
CS1900,2014-11-19,24,1737
CS1901,2014-10-01,22,1620
CS1902,2015-02-13,15,1109
CS1903,2015-03-10,25,1826
CS1904,2014-11-14,18,1275
CS1905,2015-03-02,24,1551
CS1906,2015-02-12,28,2012
CS1907,2015-01-14,20,1423
CS1908,2014-12-01,27,1833
CS1909,2015-03-03,17,1255
CS1910,2015-01-01,16,1142
CS1911,2015-03-05,24,1667
CS1912,2015-03-14,23,1510
CS1913,2015-02-13,16,959
CS1914,2015-02-19,18,1254
CS1915,2014-09-15,6,497
CS1916,2015-03-08,23,1700
CS1917,2014-11-23,17,1028
CS1918,2014-10-17,13,871
CS1919,2014-03-18,20,1256
CS1920,2015-01-26,28,1939
CS1921,2015-01-24,26,2011
CS1922,2015-01-24,20,1418
CS1923,2014-12-29,30,2130
CS1924,2015-02-14,25,1774
CS1925,2015-03-12,28,2000
CS1926,2014-11-19,22,1511
CS1927,2014-11-25,19,1220
CS1928,2015-03-09,14,798
CS1929,2015-01-31,16,1095
CS1930,2014-12-10,22,1559
CS1931,2014-11-08,19,1236
CS1932,2014-10-24,21,1538
CS1933,2015-01-30,23,1568
CS1934,2015-01-31,18,1262
CS1935,2015-01-31,21,1517
CS1936,2014-12-24,15,1080
CS1937,2014-11-29,18,1231
